route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,date
FLIXBUS:001,FLIXBUS,FlixBus,Freiburg - München,,3,,,,2017-02-13
FLIXBUS:005,FLIXBUS,FlixBus,Hamburg - Hannover - Hessisch Oldendorf,,3,,,,2017-02-13
FLIXBUS:006,FLIXBUS,FlixBus,Zürich - M - Berlin,,3,,,,2017-02-13
FLIXBUS:007,FLIXBUS,FlixBus,Hamburg - Zürich,,3,,,,2017-02-13
FLIXBUS:008,FLIXBUS,FlixBus,Lörrach - KA - Tübingen,,3,,,,2017-02-13
FLIXBUS:009,FLIXBUS,FlixBus,Ludwigshafen - N - Berlin,,3,,,,2017-02-13
FLIXBUS:011,FLIXBUS,FlixBus,Konstanz - Amsterdam,,3,,,,2017-02-13
FLIXBUS:012,FLIXBUS,FlixBus,Dresden  - Mannheim,,3,,,,2017-02-13
FLIXBUS:013,FLIXBUS,FlixBus,Saarbrücken - MZ - Berlin,,3,,,,2017-02-13
FLIXBUS:015,FLIXBUS,FlixBus,Freiburg - Berlin,,3,,,,2017-02-13
FLIXBUS:016,FLIXBUS,FlixBus,Freiburg - Essen,,3,,,,2017-02-13
FLIXBUS:017,FLIXBUS,FlixBus,Stuttgart - Münster (-B),,3,,,,2017-02-13
FLIXBUS:020,FLIXBUS,FlixBus,Dresden - Gießen - Essen,,3,,,,2017-02-13
FLIXBUS:021,FLIXBUS,FlixBus,Dresden - Freiburg,,3,,,,2017-02-13
FLIXBUS:022,FLIXBUS,FlixBus,Lörrach - Frankfurt - Oldenburg,,3,,,,2017-02-13
FLIXBUS:023,FLIXBUS,FlixBus,Dresden - Kassel - Düsseldorf,,3,,,,2017-02-13
FLIXBUS:024,FLIXBUS,FlixBus,Hamburg - ZH - Mailand,,3,,,,2017-02-13
FLIXBUS:025,FLIXBUS,FlixBus,Lubmin - Berlin - Leipzig,,3,,,,2017-02-13
FLIXBUS:026,FLIXBUS,FlixBus,Luxembourg - F - Berlin,,3,,,,2017-02-13
FLIXBUS:027,FLIXBUS,FlixBus,München - MA - Essen/Amsterdam,,3,,,,2017-02-13
